dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.000054,0.000000,0.000094,0.003750,0.075000,1.500000,0.000027
0.050000,0.000429,0.000000,0.000469,0.011250,0.150000,1.500000,0.000211
0.050000,0.001273,0.000000,0.001313,0.022500,0.225000,1.500000,0.000626
0.050000,0.002773,0.000002,0.002813,0.037500,0.300000,1.500000,0.001363
0.050000,0.005116,0.000006,0.005156,0.056250,0.375000,1.500000,0.002516
0.050000,0.008491,0.000018,0.008531,0.078750,0.450000,1.500000,0.004176
0.050000,0.013085,0.000042,0.013125,0.105000,0.525000,1.500000,0.006436
0.050000,0.019085,0.000090,0.019125,0.135000,0.600000,1.500000,0.009388
0.050000,0.026678,0.000175,0.026719,0.168750,0.675000,1.500000,0.013124
0.050000,0.036052,0.000320,0.036094,0.206250,0.750000,1.500000,0.017738
0.050000,0.047393,0.000553,0.047438,0.247500,0.825000,1.500000,0.023321
0.050000,0.060889,0.000912,0.060938,0.292500,0.900000,1.500000,0.029964
0.050000,0.076723,0.001449,0.076781,0.341250,0.975000,1.500000,0.037758
0.050000,0.095082,0.002225,0.095156,0.393750,1.050000,1.500000,0.046789
0.050000,0.116147,0.003321,0.116250,0.450000,1.125000,1.500000,0.057144
0.050000,0.140099,0.004832,0.140250,0.510000,1.200000,1.500000,0.068900
0.050000,0.167115,0.006877,0.167344,0.573750,1.275000,1.500000,0.082130
0.050000,0.197369,0.009592,0.197719,0.641250,1.350000,1.500000,0.096897
0.050000,0.231025,0.013142,0.231563,0.712500,1.425000,1.500000,0.113249
0.050000,0.268245,0.017715,0.269063,0.787500,1.500000,1.500000,0.131217
0.050000,0.308992,0.023498,0.310219,0.858750,1.425000,-1.500000,0.150720
0.050000,0.353038,0.030659,0.354844,0.926250,1.350000,-1.500000,0.171568
0.050000,0.400147,0.039358,0.402750,0.990000,1.275000,-1.500000,0.193552
0.050000,0.450077,0.049742,0.453750,1.050000,1.200000,-1.500000,0.216445
0.050000,0.502584,0.061941,0.507656,1.106250,1.125000,-1.500000,0.240006
0.050000,0.557418,0.076063,0.564281,1.158750,1.050000,-1.500000,0.263983
0.050000,0.614332,0.092191,0.623438,1.207500,0.975000,-1.500000,0.288118
0.050000,0.673080,0.110378,0.684938,1.252500,0.900000,-1.500000,0.312155
0.050000,0.733420,0.130649,0.748594,1.293750,0.825000,-1.500000,0.335842
0.050000,0.795121,0.152998,0.814219,1.331250,0.750000,-1.500000,0.358940
0.050000,0.857960,0.177385,0.881625,1.365000,0.675000,-1.500000,0.381227
0.050000,0.921725,0.203745,0.950625,1.395000,0.600000,-1.500000,0.402502
0.050000,0.986219,0.231982,1.021031,1.421250,0.525000,-1.500000,0.422588
0.050000,1.051260,0.261977,1.092656,1.443750,0.450000,-1.500000,0.441335
0.050000,1.116679,0.293587,1.165313,1.462500,0.375000,-1.500000,0.458617
0.050000,1.182320,0.326653,1.238813,1.477500,0.300000,-1.500000,0.474333
0.050000,1.248044,0.360996,1.312969,1.488750,0.225000,-1.500000,0.488409
0.050000,1.313720,0.396429,1.387594,1.496250,0.150000,-1.500000,0.500790
0.050000,1.379230,0.432751,1.462500,1.500000,0.075000,-1.500000,0.511443
0.050000,1.444463,0.469759,1.537500,1.500000,0.000000,-1.500000,0.520352
0.050000,1.509397,0.507291,1.612500,1.500000,0.000000,0.000000,0.527526
0.050000,1.574092,0.545231,1.687500,1.500000,0.000000,0.000000,0.532984
0.050000,1.638612,0.583470,1.762500,1.500000,0.000000,0.000000,0.536742
0.050000,1.703020,0.621896,1.837500,1.500000,0.000000,0.000000,0.538810
0.050000,1.767381,0.660401,1.912500,1.500000,0.000000,0.000000,0.539197
0.050000,1.831760,0.698877,1.987500,1.500000,0.000000,0.000000,0.537902
0.050000,1.896221,0.737215,2.062500,1.500000,0.000000,0.000000,0.534922
0.050000,1.960828,0.775306,2.137500,1.500000,0.000000,0.000000,0.530248
0.050000,2.025644,0.813040,2.212500,1.500000,0.000000,0.000000,0.523865
0.050000,2.090732,0.850303,2.287500,1.500000,0.000000,0.000000,0.515757
0.050000,2.156107,0.886955,2.362449,1.497972,-0.040551,-0.811024,0.505908
0.050000,2.221700,0.922811,2.437203,1.492195,-0.115551,-1.500000,0.494323
0.050000,2.287396,0.957669,2.511575,1.482667,-0.190551,-1.500000,0.481027
0.050000,2.353071,0.991336,2.585376,1.469390,-0.265551,-1.500000,0.466064
0.050000,2.418588,1.023627,2.658420,1.452362,-0.340551,-1.500000,0.449499
0.050000,2.483800,1.054376,2.730519,1.431585,-0.415551,-1.500000,0.431421
0.050000,2.548545,1.083430,2.801485,1.407057,-0.490551,-1.500000,0.411943
0.050000,2.612645,1.110661,2.871131,1.378780,-0.565551,-1.500000,0.391206
0.050000,2.675911,1.135961,2.939269,1.346752,-0.640551,-1.500000,0.369372
0.050000,2.738138,1.159249,3.005712,1.310974,-0.715551,-1.500000,0.346634
0.050000,2.799107,1.180476,3.070273,1.271447,-0.790551,-1.500000,0.323203
0.050000,2.858592,1.199619,3.132763,1.228169,-0.865551,-1.500000,0.299311
0.050000,2.916354,1.216689,3.192996,1.181142,-0.940551,-1.500000,0.275205
0.050000,2.972149,1.231726,3.250784,1.130364,-1.015551,-1.500000,0.251138
0.050000,3.025731,1.244800,3.305939,1.075837,-1.090551,-1.500000,0.227369
0.050000,3.076851,1.256007,3.358274,1.017559,-1.165551,-1.500000,0.204154
0.050000,3.125261,1.265467,3.407601,0.955531,-1.240551,-1.500000,0.181738
0.050000,3.170719,1.273321,3.453733,0.889754,-1.315551,-1.500000,0.160356
0.050000,3.212986,1.279722,3.496483,0.820226,-1.390551,-1.500000,0.140224
0.050000,3.251829,1.284836,3.535662,0.746949,-1.465551,-1.500000,0.121543
0.050000,3.287126,1.288842,3.571185,0.673976,-1.459449,0.122048,0.104442
0.050000,3.318944,1.291928,3.603153,0.604754,-1.384449,1.500000,0.088942
0.050000,3.347449,1.294270,3.631754,0.539281,-1.309449,1.500000,0.075002
0.050000,3.372809,1.296017,3.657175,0.477559,-1.234449,1.500000,0.062567
0.050000,3.395202,1.297297,3.679604,0.419587,-1.159449,1.500000,0.051567
0.050000,3.414804,1.298214,3.699228,0.365364,-1.084449,1.500000,0.041927
0.050000,3.431798,1.298855,3.716234,0.314892,-1.009449,1.500000,0.033564
0.050000,3.446368,1.299292,3.730811,0.268169,-0.934449,1.500000,0.026392
0.050000,3.458699,1.299580,3.743145,0.225197,-0.859449,1.500000,0.020322
0.050000,3.468976,1.299763,3.753424,0.185974,-0.784449,1.500000,0.015263
0.050000,3.477388,1.299874,3.761836,0.150502,-0.709449,1.500000,0.011124
0.050000,3.484119,1.299938,3.768568,0.118780,-0.634449,1.500000,0.007811
0.050000,3.489359,1.299972,3.773808,0.090807,-0.559449,1.500000,0.005234
0.050000,3.493294,1.299989,3.777742,0.066585,-0.484449,1.500000,0.003298
0.050000,3.496111,1.299996,3.780560,0.046112,-0.409449,1.500000,0.001912
0.050000,3.497999,1.299999,3.782447,0.029390,-0.334449,1.500000,0.000984
0.050000,3.499144,1.300000,3.783592,0.016417,-0.259449,1.500000,0.000421
0.050000,3.499734,1.300000,3.784183,0.007195,-0.184449,1.500000,0.000131
0.050000,3.499957,1.300000,3.784406,0.001722,-0.109449,1.500000,0.000021
0.050000,3.500000,1.300000,3.784449,0.000000,-0.034449,1.500000,6.283185
0.050000,3.500000,1.300000,3.784449,0.000000,0.000000,0.688976,6.283185
